Jour,8h,8h30,9h,9h30,10h,10h30,11h,11h30,12h,12h30,13h,13h30,14h,14h30,15h,15h30,16h,16h30,17h,17h30,18h,18h30
Lundi,Cours,Cours,Cours,Cours,Rotation,Rotation,Rotation,Rotation,Rotation,Pause,Langues,Langues,Cours,Cours,Cours,Cours,Cours,Cours,Rotation,Rotation,Rotation,Rotation
Mardi,Cours,Cours,Cours,Cours,Cours,Cours,Cours,Cours,Pause,Pause,Libre,Libre,Cours,Cours,Cours,Cours,Libre,Libre,Libre,Libre,Libre,Libre
Mercredi,Cours,Cours,Cours,Cours,Cours,Cours,Cours,Cours,Cours,Pause,Pause,Rotation,Rotation,Rotation,Rotation,Rotation,Rotation,Libre,Libre,Libre,Libre,Libre
Jeudi,Cours,Cours,Cours,Cours,Cours,Cours,Cours,Cours,Pause,Pause,Langues,Langues,Cours,Cours,Cours,Cours,Rotation,Rotation,Rotation,Rotation,Rotation,Rotation
Vendredi,Cours,Cours,Cours,Cours,Cours,Cours,Cours,Cours,Pause,Pause,Cours,Cours,Alternance,Alternance,Alternance,Alternance,Alternance,Alternance,Libre,Libre,Libre,Libre
